sifra,tip,stanica,datum_vrijeme,T,RR,vjetar,smjer_kod,udar
02BAR010,glavna,Bar,16.08.2026 13:00,28.50,0.00,2.60,24,
02BERA20,glavna,Berane,16.08.2026 12:00,27.57,0.00,1.30,24,2.70
02CTNJ10,glavna,Cetinje,16.08.2026 13:00,31.00,0.00,1.70,12,
02HNOV10,glavna,Herceg Novi,16.08.2026 13:00,29.90,0.00,2.10,8,
02KOLS10,glavna,Kolašin,16.08.2026 13:00,28.80,0.00,0.90,14,
02NIKS10,glavna,Nikšić,16.08.2026 13:00,30.40,0.00,6.70,14,
02PDGR10,glavna,Podgorica,16.08.2026 13:00,33.20,0.00,3.60,16,
02PLJV10,glavna,Pljevlja,16.08.2026 13:00,30.50,0.00,2.20,18,
02ULCN10,glavna,Ulcinj,16.08.2026 13:00,30.00,0.00,4.30,18,
02ZBLJ10,glavna,Žabljak,16.08.2026 13:00,24.10,0.00,1.00,24,
02BIST20,klimatološka,Bistrica,16.08.2026 12:00,27.00,0.00,3.70,2,6.60
02BOAN30,klimatološka,Boan,16.08.2026 12:00,28.09,,,,
02BPLJ20,klimatološka,Bijelo Polje,16.08.2026 12:00,26.54,,,,
02BUDV20,klimatološka,Budva,16.08.2026 12:00,29.25,,,,
02CRKV30,klimatološka,Crkvice,16.08.2026 12:00,26.02,,,,
02DANL20,klimatološka,Danilovgrad,16.08.2026 13:00,34.70,,,,
02DDOB30,klimatološka,Donja Dobrilovina,16.08.2026 12:00,27.83,,,,
02GOBU30,klimatološka,Gornja Bukovica,16.08.2026 12:00,23.52,,,,
02GRAD30,klimatološka,Gradac,16.08.2026 12:00,30.40,,,,
02IVKO30,klimatološka,Ivanova korita,16.08.2026 12:00,24.58,0.00,,,
02KOSA30,klimatološka,Kosanica,16.08.2026 12:00,27.07,,,,
02KOVR30,klimatološka,Kovren,16.08.2026 12:00,24.59,0.00,,,
02KUKO30,klimatološka,Kučka korita,16.08.2026 12:00,22.76,0.00,,,
02LKOT20,klimatološka,Luka Kotor,16.08.2026 12:36,30.80,,1.20,,4.80
02MAMO30,klimatološka,Manastir Morača,16.08.2026 13:00,34.16,,,,
02MATE30,klimatološka,Matesevo,16.08.2026 13:00,27.71,0.00,,,
02MOKR30,klimatološka,Mokro,16.08.2026 13:00,27.18,,,,
02NJGV30,klimatološka,Njegovuđa,16.08.2026 13:00,25.54,,,,
02PLZN20,klimatološka,Pluzine,16.08.2026 12:00,29.15,0.00,1.00,28,2.00
02POSC30,klimatološka,Pošćenje,16.08.2026 13:00,29.42,,,,
02STAB30,klimatološka,Stabna,16.08.2026 13:00,29.36,,,,
02STIT30,klimatološka,Štitarica,16.08.2026 13:00,25.82,,,,
02UBLI20,klimatološka,Ubli,16.08.2026 12:00,29.09,,,,
02VELK30,klimatološka,Velika,16.08.2026 13:00,29.81,,,,
02VELM20,klimatološka,Velimlje,16.08.2026 12:00,28.50,0.00,2.10,22,4.60
02VIRP20,klimatološka,Virpazar,16.08.2026 13:00,31.70,0.00,,,
02BAR010,glavna,Bar,16.08.2026 13:10,28.30,0.00,2.30,24,
02BERA20,glavna,Berane,16.08.2026 13:00,30.25,0.00,1.40,2,3.50
02CTNJ10,glavna,Cetinje,16.08.2026 13:10,30.70,0.00,0.70,8,
02HNOV10,glavna,Herceg Novi,16.08.2026 13:10,30.20,0.00,2.30,10,
02KOLS10,glavna,Kolašin,16.08.2026 13:10,29.10,0.00,0.90,14,
02NIKS10,glavna,Nikšić,16.08.2026 13:10,30.70,0.00,6.50,16,
02PDGR10,glavna,Podgorica,16.08.2026 13:10,33.20,0.00,4.70,16,
02PLJV10,glavna,Pljevlja,16.08.2026 13:10,30.60,0.00,3.70,18,
02ULCN10,glavna,Ulcinj,16.08.2026 13:10,30.30,0.00,5.10,18,
02ZBLJ10,glavna,Žabljak,16.08.2026 13:10,24.50,0.00,1.40,18,
02BIST20,klimatološka,Bistrica,16.08.2026 13:00,29.70,0.00,1.70,2,3.10
02BOAN30,klimatološka,Boan,16.08.2026 13:00,29.38,,,,
02BPLJ20,klimatološka,Bijelo Polje,16.08.2026 13:00,28.59,,,,
02BUDV20,klimatološka,Budva,16.08.2026 13:00,28.64,,,,
02CRKV30,klimatološka,Crkvice,16.08.2026 13:00,26.12,,,,
02DDOB30,klimatološka,Donja Dobrilovina,16.08.2026 13:00,29.19,,,,
02GOBU30,klimatološka,Gornja Bukovica,16.08.2026 13:00,24.57,,,,
02GRAD30,klimatološka,Gradac,16.08.2026 13:00,30.99,,,,
02IVKO30,klimatološka,Ivanova korita,16.08.2026 13:00,24.60,0.00,,,
02KOSA30,klimatološka,Kosanica,16.08.2026 13:00,25.57,,,,
02KOVR30,klimatološka,Kovren,16.08.2026 13:00,26.21,0.00,,,
02KUKO30,klimatološka,Kučka korita,16.08.2026 13:00,23.50,0.00,,,
02LKOT20,klimatološka,Luka Kotor,16.08.2026 12:46,30.40,,2.90,,6.90
02PLZN20,klimatološka,Pluzine,16.08.2026 13:00,29.46,0.00,2.30,12,4.90
02UBLI20,klimatološka,Ubli,16.08.2026 13:00,29.85,,,,
02VELM20,klimatološka,Velimlje,16.08.2026 13:00,29.20,0.00,5.80,22,9.40
02BAR010,glavna,Bar,16.08.2026 13:30,28.60,0.00,2.50,26,
02CTNJ10,glavna,Cetinje,16.08.2026 13:30,30.70,0.00,1.00,12,
02HNOV10,glavna,Herceg Novi,16.08.2026 13:30,30.10,0.00,2.30,10,
02KOLS10,glavna,Kolašin,16.08.2026 13:30,29.40,0.00,1.50,16,
02NIKS10,glavna,Nikšić,16.08.2026 13:30,30.40,0.00,5.60,16,
02PDGR10,glavna,Podgorica,16.08.2026 13:30,33.60,0.00,3.80,16,
02PLJV10,glavna,Pljevlja,16.08.2026 13:30,30.50,0.00,2.90,26,
02ULCN10,glavna,Ulcinj,16.08.2026 13:30,29.80,0.00,3.90,20,
02ZBLJ10,glavna,Žabljak,16.08.2026 13:30,24.10,0.00,2.70,22,
02LKOT20,klimatološka,Luka Kotor,16.08.2026 13:06,30.00,,2.70,,5.10
02BAR010,glavna,Bar,16.08.2026 14:20,28.80,0.00,1.30,24,
02BERA20,glavna,Berane,16.08.2026 14:00,32.25,0.00,1.50,28,4.30
02CTNJ10,glavna,Cetinje,16.08.2026 14:20,30.60,0.00,3.90,22,
02HNOV10,glavna,Herceg Novi,16.08.2026 14:20,30.20,0.00,3.50,8,
02KOLS10,glavna,Kolašin,16.08.2026 14:20,28.70,0.00,0.20,20,
02NIKS10,glavna,Nikšić,16.08.2026 14:20,30.70,0.00,6.90,18,
02PDGR10,glavna,Podgorica,16.08.2026 14:20,34.60,0.00,1.90,14,
02PLJV10,glavna,Pljevlja,16.08.2026 14:20,31.10,0.00,0.60,10,
02ULCN10,glavna,Ulcinj,16.08.2026 14:20,29.60,0.00,4.00,22,
02ZBLJ10,glavna,Žabljak,16.08.2026 14:20,23.80,0.00,2.00,22,
02BIST20,klimatološka,Bistrica,16.08.2026 14:00,29.70,0.00,3.20,4,5.00
02BOAN30,klimatološka,Boan,16.08.2026 14:00,27.15,,,,
02BPLJ20,klimatološka,Bijelo Polje,16.08.2026 14:00,29.84,,,,
02BUDV20,klimatološka,Budva,16.08.2026 14:00,29.10,,,,
02CRKV30,klimatološka,Crkvice,16.08.2026 14:00,25.95,,,,
02DANL20,klimatološka,Danilovgrad,16.08.2026 14:00,35.60,,,,
02DDOB30,klimatološka,Donja Dobrilovina,16.08.2026 14:00,30.92,,,,
02GOBU30,klimatološka,Gornja Bukovica,16.08.2026 14:00,24.98,,,,
02GRAD30,klimatološka,Gradac,16.08.2026 14:00,31.74,,,,
02IVKO30,klimatološka,Ivanova korita,16.08.2026 14:00,24.34,0.00,,,
02KOSA30,klimatološka,Kosanica,16.08.2026 14:00,27.78,,,,
02KOVR30,klimatološka,Kovren,16.08.2026 14:00,27.98,0.00,,,
02KUKO30,klimatološka,Kučka korita,16.08.2026 14:00,24.14,0.00,,,
02LKOT20,klimatološka,Luka Kotor,16.08.2026 13:56,30.00,,2.70,,8.00
02MAMO30,klimatološka,Manastir Morača,16.08.2026 14:00,35.24,,,,
02MATE30,klimatološka,Matesevo,16.08.2026 14:00,27.74,0.00,,,
02MOKR30,klimatološka,Mokro,16.08.2026 14:00,26.36,,,,
02NJGV30,klimatološka,Njegovuđa,16.08.2026 14:00,24.55,,,,
02PLZN20,klimatološka,Pluzine,16.08.2026 14:00,29.67,0.00,1.80,22,4.40
02POSC30,klimatološka,Pošćenje,16.08.2026 14:00,30.78,,,,
02STAB30,klimatološka,Stabna,16.08.2026 14:00,31.19,,,,
02STIT30,klimatološka,Štitarica,16.08.2026 14:00,27.44,,,,
02UBLI20,klimatološka,Ubli,16.08.2026 14:00,30.98,,,,
02VELK30,klimatološka,Velika,16.08.2026 14:00,28.04,,,,
02VELM20,klimatološka,Velimlje,16.08.2026 14:00,30.00,0.00,3.70,24,6.50
02VIRP20,klimatološka,Virpazar,16.08.2026 14:00,33.00,0.00,,,
02BAR010,glavna,Bar,16.08.2026 15:00,29.20,0.00,1.70,24,2.70
02CTNJ10,glavna,Cetinje,16.08.2026 15:00,30.00,0.00,3.20,20,
